id,question_text,old_order_index,new_order_index
f47c32e8-d69a-4c18-bfec-00464b3bc75c,"What thing, person or moment filled you with gratitude recently?",1,1
982e8ad6-80ee-428b-8680-25176ab4ec14,What went well recently and why?,2,2
0b3f542b-3605-49c4-980d-efb36ccd4ed7,How are you feeling? Spiritually and physically?,3,3
27a81ed7-2a47-4189-8b42-7cde0ebb2f62,How was your time management recently? Anything to improve?,5,4
6589167a-193b-4627-a70b-0d2684ac1e06,"What purchase, under $100, gave you the most joy this month?",7,5
de3875e9-17fd-4941-a254-f5c7a1640388,"Relationshipwise, which is going well or which needs more attention?",9,6
f7402e7b-9138-4797-aac9-e6c87c35a45e,How have you handled criticism recently? Positively or Negatively?,11,7
b31dd008-6791-40a2-953b-873674f97a72,What progress have you made recently towards your health?,12,8
185481ec-7205-429b-a301-2b0c272cd01f,When was the last time you were outdoors? What was enjoyable about it?,17,9
f0515fbb-6399-40f2-9202-93031d94c1af,What is something new you learned about yourself recently?,19,10
368001c0-44c3-4431-aef4-945a4468c09d,"When did you feel most focused yesterday or today, and what helped you get there?",28,11
9303d01c-e4eb-415e-925e-4aa6bd7dade9,What part of your daily routine feels most grounding for you?,29,12
d43872df-26e5-4428-9f7a-041cf4778ca6,What motivates you most about your career or daily work right now?,32,13
ac0db7e9-1808-400a-978c-2596e15512a2,Have you felt helpless or lost recently? What triggered this feeling?,46,14
5a9b6b58-9a35-44c3-9324-2c1fd5fc55b2,What is something you feel lucky to have in your life?,15,15
d128e5ed-af5f-4460-a93e-0ee295258716,What's one recent success—big or small—that you haven't celebrated yet?,30,16
d72acf32-785a-487b-beda-2ad1105d7021,What would you pray about tonight?,4,17
bd015932-cd05-43e5-95e3-239cec5f384b,Were you satisfied with what you accomplished today or yesterday?,6,18
84800fb9-03cb-4bbb-9fa4-514689f05b37,"What is your ""go-to"" book, movie or show? Why?",8,19
c3a732f0-3b6a-4661-91c5-bb50c9937607,"Who made you feel supported or understood recently, and how did they do so?",22,20
28f13917-0b20-473d-92c1-923f8be4fa98,What was your most recent failure? Were you able to bounce back?,18,21
a28ab46c-9145-4044-94ef-ac4fe51b80e1,"How has your body felt throughout the day recently—energized, tired, tense, or relaxed?",21,22
46047329-ff99-48c2-b2bd-310bc96180e6,How did time spent outdoors (or lack of it) affect you recently?,26,23
3903db2f-1b84-4afc-9458-b0d121309ecc,"Have you felt more present in the moment recently, or more distracted—why?",35,24
571236c1-1ecb-47b8-88af-57ea9a839d80,"What personal boundary have you set recently, and how has it helped you?",33,25
9c5b2409-606d-4fd9-be73-10ba8aad2231,"How would you describe the balance between work, rest, and play in your life right now?",36,26
4733df98-019a-434a-b8e9-a16c35567653,What challenge have you been mentally avoiding because it feels too big or too uncertain?,52,27
8c7f7b9e-8a99-45ca-8eda-f6968956df66,Which risk did you take lately that you are thankful for?,59,28
12c06f6d-0ba1-4051-9d70-04e00962e3f4,"When was the last time you laughed deeply, and what sparked it?",34,29
6763204d-79ee-4e9c-b6a2-1cfb9cb4b113,How has your spiritual mindset been recently? Fixed or Growth minded?,13,30
38823b2b-e89f-49bf-a004-6f317a995a28,Name an obstacle to your goals… Why is it hindering you?,10,31
02cc440c-513e-497e-a09a-87b8b587bf5c,What is a consistent and reliable source of joy for you?,20,32
26ed3631-4e27-4cfc-94ef-aae2fa124466,When was the last time you felt truly loved by another person?,41,33
dcf4656e-31d4-466c-93ff-060bb3a02e79,What recurring worry or fear has been on your mind lately?,27,34
32e19d57-c81e-41a5-bd8d-50e77db612ab,How has your meals affected your mood or energy recently? Is a change needed?,24,35
d893ba2c-2d1e-4828-b188-e8b7d7b9a849,"When you scroll social media, what emotion usually shows up first—envy, excitement, boredom, validation, or something else?",42,36
921f1fdb-732a-4403-8581-18c5a1936c07,"When you feel embarrassed, do you tend to laugh it off, hide it, or replay it in your mind?",54,37
f3400223-7fe9-4175-9363-8ba99493f125,"Did you notice any negative thought patterns lately, and how did you handle them?",37,38
8209ed91-4227-4d7e-a930-f87ea966d323,When was your last deeply spiritual moment? How did you feel?,14,39
20ccac88-814d-4ebb-b0fe-75ed8d3a610d,"Did you notice a moment of beauty recently—natural, artistic, or human?",40,40
c4bb60e9-db92-4a63-9910-c642df066605,When was your last random act of kindness?,43,41
d1a8c994-99b1-45fd-9644-e708728b09d3,"Did you notice any moments of self-doubt recently, and how did you respond?",31,42
b2a4685c-3c03-4610-bc71-ef4949301893,"In what ways did you move your body recently, and how did it make you feel?",25,43
60097cca-795f-4d53-ac2a-cda9f72f86ab,"What need are you hoping social media fills for you (connection, distraction, recognition, escape)?",44,44
8549b46c-541a-4325-a56c-72a97ff8348c,"What private win have you kept to yourself because it didn't feel ""big enough"" to share?",55,45
68f0b02e-70d8-4018-9ed0-77b131a3a8b1,What is something about your current self that your younger self would admire?,38,46
d751474c-ad8f-435e-bfc2-8515c39f9459,Are you feeling overall stagnant or are you progressing towards a spiritual goal?,16,47
15fbbf75-86ab-4d40-a332-6984799aa33a,What is the most recent moment you genuinely felt proud—even if no one else cared?,57,48
927204c6-7423-4716-9b92-67d6d97fd139,"When did you recently feel alone, even while around other people—and what made it feel that way?",53,49
f6ff5566-d2de-49ff-a441-18a834be2174,Are your distractions giving you relief or just postponing discomfort?,48,50
b2c1a67c-07ed-42dc-93b6-c0ab666a9cdc,"If you could remove one distraction for the next 7 days, which one would create the biggest change?",50,51
c1347cfb-92e2-40e5-8021-abfd4d0dc6fc,"If you reduced your time online this week, what might you gain back in your life?",45,52
aa94de6d-b11a-47ef-9bb0-61ccd0a740f8,Did you suppress or minimize a feeling recently—why was it easier to avoid than express?,61,53
9fc8f840-a663-4d38-a3ee-8f161d18dabc,How connected have you felt to your community or the world around you recently?,39,54
7f3de0df-550f-4e6c-a154-1cc49c0da349,"When did you last feel truly at peace, and what created that feeling?",23,55
6c6ffb45-27b5-4311-9b6f-6858b8630164,What are you proud of that doesn't look impressive on paper?,60,56
21584244-274a-46b8-895a-d666e8a7f77d,"When was the last time you pushed through discomfort, and what did you learn about yourself?",51,57
ec80d611-7de0-4273-8e87-e7785ac6b56d,"How has your eating been tied to emotion lately—comfort, boredom, stress, celebration?",62,58
c8d38d46-bbfb-48a2-ad1e-5a736766ee34,"When were you most distracted in the last 48 hours, and what were you avoiding in that moment?",47,59
d215c70a-fd89-4d2a-83df-aa5891bf4829,Where in your life do you succeed behind the scenes without validation?,56,60
966886a4-0dbb-40a5-9894-acd77d508d74,What belief about food or diet is no longer serving you?,63,61
8b59140f-6ab0-4708-9575-77b0fb2c6a56,What environment helps you stay focused—and when did you last put yourself in it?,49,62
01c9df74-20c5-4705-9aba-4075c84ee7af,"If you made one small change to feel better physically this week, what would it be?",64,63
f15edc92-295f-4359-81dd-3cdcb23d49bc,What version of yourself (past or present) deserves more recognition from you?,58,64
